,index,created_at,followers_count,full_text,lang,mode,retweet,retweet_count,retweet_text,retweeted,user_id,tweet_id,clean_text,polarity,date,hashtag,sentiment
295,63,2019-11-16 03:56:13,400,@HarrisonSmith85 we saw #DrSleep tonight and loved it.  We tonight it was great!,en,extended,False,0,,False,2644779773,1195551116571938819,HarrisonSmith85 we saw DrSleep tonight and loved it We tonight it was great,0.85,2019-11-16,DrSleep,positive
97,28,2019-11-21 12:00:01,52444,"On our latest #podcast we review #DoctorSleep and discuss the best satirical films of all time. Check it out:

https://t.co/uoIHyTmSZp

#DrSleep #TheShining #horror  #satire #film #movie https://t.co/01TRPgO09P",en,extended,False,0,,False,2709128076,1197484807820759045,On our latest podcast we review DoctorSleep and discuss the best satirical films of all time Check it outDrSleep TheShining horror satire film movie,0.75,2019-11-21,DrSleep,positive
242,25,2019-11-17 09:44:01,4,I just went to finish this catified version of Rose The Hat from de thé movie Doctor Sleep ! I liked a lot the movie and Rebecca Ferguson ! #DrSleepMovie #drsleep #DoctorSleepMovie #DoctorSleep #cat #RoseTheHat https://t.co/Iy5wHTxcxS,en,extended,False,0,,False,1171509176947789824,1196001034369470465,I just went to finish this catified version of Rose The Hat from de th movie Doctor Sleep I liked a lot the movie and Rebecca Ferguson DrSleepMovie drsleep DoctorSleepMovie DoctorSleep cat RoseTheHat,0.75,2019-11-17,DrSleep,positive
90,21,2019-11-22 00:00:00,52444,"Check out our latest #podcast where we review #DoctorSleep and debate Darren Aronofsky's best films:

https://t.co/uoIHyTEunZ

#DrSleep #horror #thriller #film #TheShining #movie https://t.co/kGKqQxekbS",en,extended,False,4,,False,2709128076,1197666000243740673,Check out our latest podcast where we review DoctorSleep and debate Darren Aronofskys best filmsDrSleep horror thriller film TheShining movie,0.75,2019-11-22,DrSleep,positive
797,146,2019-11-10 14:58:03,661,Omgggg #DrSleep 👍🏽👍🏽 incredibly good I like it. #movietwit,en,extended,False,0,,False,87430753,1193543345391325184,Omgggg DrSleep incredibly good I like it movietwit,0.7,2019-11-10,DrSleep,positive
963,337,2019-11-09 21:06:22,10214,Aaaaaaaaand the birthday shenanigans continue with Nay &amp; her crew going to check out #DrSleep &amp; they’re ALL shook lmao! I’ll NEVER understand how fathers don’t wanna be in their kids lives cause this is EASILY the dopest job in the world! https://t.co/PMIZDUH5gV,en,extended,False,1,,False,73562852,1193273647911374851,Aaaaaaaaand the birthday shenanigans continue with Nay amp her crew going to check out DrSleep amp theyre ALL shook lmao Ill NEVER understand how fathers dont wanna be in their kids lives cause this is EASILY the dopest job in the world,0.6458333333333334,2019-11-09,DrSleep,positive
1333,0,2019-11-08 02:17:27,612,we’re seeing #DrSleep and rose the hat needs to stop trying to 1v1 abra bcs she gets her ass kicked every time.,en,normal,False,0,,False,16389950,1192627158100987910,were seeing DrSleep and rose the hat needs to stop trying to 1v1 abra bcs she gets her ass kicked every time,0.6,2019-11-08,DrSleep,positive
1218,620,2019-11-09 04:42:05,598,#DrSleep was awesome! Highly suggest it if you’re a Stephen King fan OR a fan of #TheShining. https://t.co/PPFDDPtUNV,en,extended,False,0,,False,843863706027069442,1193025945977925633,DrSleep was awesome Highly suggest it if youre a Stephen King fan OR a fan of TheShining,0.58,2019-11-09,DrSleep,positive
1294,753,2019-11-08 14:47:14,233,If you love #stephenking movies.. #DrSleepMovie #drsleep is dope. Good visuals and story line !!! You don't really have to watch the shining before. 🤷🏽‍♀️,en,extended,False,0,,False,716877877,1192815847443701766,If you love stephenking movies DrSleepMovie drsleep is dope Good visuals and story line You dont really have to watch the shining before,0.5666666666666667,2019-11-08,DrSleep,positive
288,52,2019-11-16 09:56:27,508,@TheatrMwldan Sound was superb in M1 last night for DrSleep 👌🏻 great overhead effects #Heartbeat #DrSleep,en,extended,False,0,,False,39037205,1195641772220792832,TheatrMwldan Sound was superb in M1 last night for DrSleep great overhead effects Heartbeat DrSleep,0.55,2019-11-16,DrSleep,positive
