,index,created_at,followers_count,full_text,lang,mode,retweet,retweet_count,retweet_text,retweeted,user_id,tweet_id,clean_text,polarity,date,hashtag,sentiment
21186,1215,2019-11-29 22:50:56,2645,The movie #KnivesOut was excellent. Salute @rianjohnson,en,extended,False,0,,False,21985837,1200547719867174912,The movie KnivesOut was excellent Salute rianjohnson,1.0,2019-11-29,KnivesOut,positive
17914,941,2019-12-01 20:46:38,71,@rianjohnson I know I might be the millionth person to tweet this at you but #KnivesOut was incredible! Excellent work!,en,extended,False,0,,False,1015712161,1201241215024467968,rianjohnson I know I might be the millionth person to tweet this at you but KnivesOut was incredible Excellent work,1.0,2019-12-01,KnivesOut,positive
29777,732,2019-11-21 15:01:11,402,Looking forward to the weekend...early screening of #KnivesOut tomorrow and the awesome @nickkroll on Saturday!,en,extended,False,0,,False,22568877,1197530401381781507,Looking forward to the weekendearly screening of KnivesOut tomorrow and the awesome nickkroll on Saturday,1.0,2019-11-21,KnivesOut,positive
12998,17,2019-12-04 03:04:51,61,"It is a shame that some of you who can't get over #thelastjedi, won't give #KnivesOut a chance.  Johnson weaves a perfect mystery who done it.",en,extended,False,0,,False,333131420,1202061172532490245,It is a shame that some of you who cant get over thelastjedi wont give KnivesOut a chance Johnson weaves a perfect mystery who done it,1.0,2019-12-04,KnivesOut,positive
21016,1044,2019-11-29 23:28:02,509,#KnivesOut was one of the best movies I’ve seen wowowowow,en,extended,False,0,,False,472531303,1200557058610872320,KnivesOut was one of the best movies Ive seen wowowowow,1.0,2019-11-29,KnivesOut,positive
21781,310,2019-11-29 00:04:56,1594,I cannot articulate how very brilliant @ChrisEvans is in #KnivesOut. Go see it!,en,extended,False,1,,False,29180799,1200203955814445062,I cannot articulate how very brilliant ChrisEvans is in KnivesOut Go see it,1.0,2019-11-29,KnivesOut,positive
25343,380,2019-11-25 23:36:06,152,#KnivesOut was awesome! https://t.co/jysgHrr7LB https://t.co/2WJkZLfc8c,en,extended,False,0,,False,390113514,1199109537736937472,KnivesOut was awesome,1.0,2019-11-25,KnivesOut,positive
22302,831,2019-11-28 21:46:35,253,Just saw this and it was great!! Go see #KnivesOut https://t.co/ForH2ZEcia,en,extended,False,0,,False,334826733,1200169141052887040,Just saw this and it was great Go see KnivesOut,1.0,2019-11-28,KnivesOut,positive
21792,321,2019-11-29 00:01:38,3671,#KnivesOut is SUPERB. That's it. That's the tweet.,en,extended,False,0,,False,2622731,1200203126831058944,KnivesOut is SUPERB Thats it Thats the tweet,1.0,2019-11-29,KnivesOut,positive
21758,287,2019-11-29 00:10:14,36,I JUST WATCHED KNIVES OUT AND IT WAS THE BEST MOVIE I HAVE SEEN ALL YEAR #KnivesOut,en,extended,False,0,,False,849218659365072896,1200205291356377089,I JUST WATCHED KNIVES OUT AND IT WAS THE BEST MOVIE I HAVE SEEN ALL YEAR KnivesOut,1.0,2019-11-29,KnivesOut,positive
20347,374,2019-11-30 02:02:05,412,Knives Out - 10/10 must see. Maybe the best thing I've seen all year. #knivesout,en,extended,False,0,,False,66516524,1200595824167673861,Knives Out 1010 must see Maybe the best thing Ive seen all year knivesout,1.0,2019-11-30,KnivesOut,positive
19298,825,2019-12-01 01:50:46,1515,"Knives Out is so damn good! See it!
#KnivesOut",en,extended,False,0,,False,766612898,1200955364495151105,Knives Out is so damn good See itKnivesOut,1.0,2019-12-01,KnivesOut,positive
22246,775,2019-11-28 22:01:39,468,"Seriously, AWESOME job to the costume and art department, production design of #KnivesOut",en,extended,False,0,,False,3229441862,1200172928802967552,Seriously AWESOME job to the costume and art department production design of KnivesOut,1.0,2019-11-28,KnivesOut,positive
13764,784,2019-12-03 19:30:41,38,Best Christmas family movie🖤#Knivesout,en,extended,False,0,,False,364691796,1201946876456529920,Best Christmas family movieKnivesout,1.0,2019-12-03,KnivesOut,positive
5241,244,2019-12-07 02:13:33,163,Everyone is talking about CEvans in #KnivesOut. But here i am. Spending my Friday night watching Thor so I can see the best Chris. #Hems.,en,extended,False,0,,False,297431775,1203135426388799489,Everyone is talking about CEvans in KnivesOut But here i am Spending my Friday night watching Thor so I can see the best Chris Hems,1.0,2019-12-07,KnivesOut,positive
22557,1086,2019-11-28 20:47:03,13323,Thinking about how perfect #KnivesOut is https://t.co/lFLNUmu5cE,en,extended,False,0,,False,320452437,1200154155383447553,Thinking about how perfect KnivesOut is,1.0,2019-11-28,KnivesOut,positive
4513,2516,2019-12-07 19:33:00,22,"#KnivesOut

Went To See Knives Out Before Going To Work.... It Was A Wonderful Time To Be Spending It For The Vlogmas Video....
https://t.co/0NOy8dz9M3",en,extended,False,0,,False,2650469848,1203397012248379392,KnivesOut Went To See Knives Out Before Going To Work It Was A Wonderful Time To Be Spending It For The Vlogmas Video,1.0,2019-12-07,KnivesOut,positive
11481,497,2019-12-04 22:43:02,934,Go see #KnivesOut ! It’s awesome 🔪 🔪🔪,en,extended,False,0,,False,15126278,1202357673380986880,Go see KnivesOut Its awesome,1.0,2019-12-04,KnivesOut,positive
5284,287,2019-12-07 01:54:23,3,#KnivesOut is one of the best movies of 2019.,en,extended,False,0,,False,1158467256906592261,1203130602221899776,KnivesOut is one of the best movies of 2019,1.0,2019-12-07,KnivesOut,positive
20823,851,2019-11-30 00:12:47,1336,Just went to see #KnivesOut ...such a good film! Great writing and direction by Rian Johnson and @ChrisEvans ...you sir are just brilliant!👏🏾 @ KnivesOut is a defo must watch!,en,extended,False,0,,False,36651781,1200568319427989506,Just went to see KnivesOut such a good film Great writing and direction by Rian Johnson and ChrisEvans you sir are just brilliant KnivesOut is a defo must watch,0.9375,2019-11-30,KnivesOut,positive
16018,1044,2019-12-02 19:11:15,539,day 2: #KnivesOut was still incredible,en,extended,False,0,,False,1168984253411053569,1201579601543225349,day 2 KnivesOut was still incredible,0.9,2019-12-02,KnivesOut,positive
25437,474,2019-11-25 23:14:58,68,"Went to see #KnivesOut as an @cineworld Unlimited screening tonight and it was perhaps one of the best films I've seen all year. Also, can we please talk about @ChrisEvans and his amazing jumpers please?!",en,extended,False,0,,False,191976550,1199104219023859712,Went to see KnivesOut as an cineworld Unlimited screening tonight and it was perhaps one of the best films Ive seen all year Also can we please talk about ChrisEvans and his amazing jumpers please,0.875,2019-11-25,KnivesOut,positive
22076,605,2019-11-28 22:39:49,3460,"@TheMyNerdWorld @rianjohnson @starwars Good to hear! I’m looking forward to seeing #KnivesOut.
We still need to rewatch #EmpireStrikesBack and then Jedi, hopefully both before the weekend is gone.",en,extended,False,2,,False,144033709,1200182535512301574,TheMyNerdWorld rianjohnson starwars Good to hear Im looking forward to seeing KnivesOutWe still need to rewatch EmpireStrikesBack and then Jedi hopefully both before the weekend is gone,0.875,2019-11-28,KnivesOut,positive
13851,871,2019-12-03 18:46:58,131,@MrsFridayNext This movie was SO GOOD! #KnivesOut,en,extended,False,0,,False,216245572,1201935874511921152,MrsFridayNext This movie was SO GOOD KnivesOut,0.875,2019-12-03,KnivesOut,positive
10968,2982,2019-12-05 03:06:47,584,#KnivesOut was really good! I want to see it again.,en,extended,False,0,,False,67477110,1202424047268716544,KnivesOut was really good I want to see it again,0.875,2019-12-05,KnivesOut,positive
27444,394,2019-11-23 18:14:39,36,"@KnivesOut Beautiful work, @rianjohnson 👌🏼
#KnivesOut https://t.co/T7G8AhEyKu",en,extended,False,0,,False,15832593,1198303863926689792,KnivesOut Beautiful work rianjohnson KnivesOut,0.85,2019-11-23,KnivesOut,positive
17198,224,2019-12-01 23:05:25,1385,A star studded murder mystery that Jessica Fletcher would be proud of #KnivesOut 🔪 https://t.co/JtHkcGjVPq,en,extended,False,1,,False,316154274,1201276142805647360,A star studded murder mystery that Jessica Fletcher would be proud of KnivesOut,0.8,2019-12-01,KnivesOut,positive
15139,161,2019-12-03 00:28:31,1164,"#KnivesOut is as great as everyone says.

That is all.",en,extended,False,0,,False,20743889,1201659441956831233,KnivesOut is as great as everyone says That is all,0.8,2019-12-03,KnivesOut,positive
26469,414,2019-11-24 19:47:26,381,"So, as it happens, #KnivesOut is a great night at the movies.",en,extended,False,0,,False,15234029,1198689601713393664,So as it happens KnivesOut is a great night at the movies,0.8,2019-11-24,KnivesOut,positive
5660,663,2019-12-06 23:19:37,74,About to go and see #KnivesOut. Are you proud of me @faultsbylies?,en,extended,False,0,,False,806589209049841664,1203091656636911616,About to go and see KnivesOut Are you proud of me faultsbylies,0.8,2019-12-06,KnivesOut,positive
19765,1292,2019-12-01 00:02:07,663,#KnivesOut is great movie. Must watch. I give it 🌟🌟 🌟 🌟 out of 5. 👍🏾😎😱 @KnivesOut,en,extended,False,0,,False,588822436,1200928024369287168,KnivesOut is great movie Must watch I give it out of 5 KnivesOut,0.8,2019-12-01,KnivesOut,positive
23639,671,2019-11-28 00:08:31,1664,"So, #KnivesOut is flippin’ great. 🔪 https://t.co/6BhmVvMjLx",en,extended,False,0,,False,278762056,1199842471104143360,So KnivesOut is flippin great,0.8,2019-11-28,KnivesOut,positive
9039,1049,2019-12-05 22:03:00,14465,You were participating in the #KnivesOutChallenge &amp; didn’t even know it @LolaLambchops I hope you win 😎 it’s the #KnivesOut #RiseofSkywalker crossover we didn’t know we needed. https://t.co/1xu8qagFuQ,en,extended,False,0,,False,23164189,1202709984053731328,You were participating in the KnivesOutChallenge amp didnt even know it LolaLambchops I hope you win its the KnivesOut RiseofSkywalker crossover we didnt know we needed,0.8,2019-12-05,KnivesOut,positive
6845,1850,2019-12-06 17:00:16,4774,"Want a chance to win this #knivesout prize pack courtesy of @lionsgate? Enter HERE: https://t.co/017BpZqMW2

🎟️: https://t.co/IDQvhqyaga
#contest Rules: https://t.co/psZji5iAPX
#HolidaysAtShowPlaceCON @KnivesOut https://t.co/Rs8x55xIkq",en,extended,False,0,,False,16026965,1202996187663609857,Want a chance to win this knivesout prize pack courtesy of lionsgate Enter HERE contest Rules HolidaysAtShowPlaceCON KnivesOut,0.8,2019-12-06,KnivesOut,positive
1925,1927,2019-12-08 16:21:51,152,"Saw #KnivesOut yesterday and if you haven't seen it then I don't know what to tell you.

You're all adults, do what you want.

The movie was great though.",en,extended,False,0,,False,48778700,1203711295960182784,Saw KnivesOut yesterday and if you havent seen it then I dont know what to tell you Youre all adults do what you want The movie was great though,0.8,2019-12-08,KnivesOut,positive
21646,175,2019-11-29 00:35:58,36,Thanksgiving movie night! #KnivesOut was great,en,extended,False,0,,False,390503021,1200211764522242049,Thanksgiving movie night KnivesOut was great,0.8,2019-11-29,KnivesOut,positive
9358,1368,2019-12-05 20:45:58,581,Happy birthday toooo mmmeeee 💕❤️🥰 going too see my fave @ChrisEvans #Knivesout ❤️❤️❤️💕💕🥰🥰🥰🥰,en,extended,False,0,,False,142887390,1202690600287506433,Happy birthday toooo mmmeeee going too see my fave ChrisEvans Knivesout,0.8,2019-12-05,KnivesOut,positive
25461,498,2019-11-25 23:11:09,894,"@rianjohnson is a master craftsman, and it's a joy to watch him work.

My ★★★★★ review of #KnivesOut on @letterboxd: https://t.co/rsVuIXxGZJ",en,extended,False,0,,False,160599936,1199103259337736193,rianjohnson is a master craftsman and its a joy to watch him workMy review of KnivesOut on letterboxd,0.8,2019-11-25,KnivesOut,positive
10799,2813,2019-12-05 05:01:41,115,Just saw #KnivesOut...and it was AMAZING!!!! It mindfucks you but the movie is soooo good! One of my favorite movies now!😊 https://t.co/Mumk19oqmT,en,extended,False,0,,False,23040839,1202452961340854272,Just saw KnivesOutand it was AMAZING It mindfucks you but the movie is soooo good One of my favorite movies now,0.7916666666666666,2019-12-05,KnivesOut,positive
28870,822,2019-11-22 23:16:55,1078,"@ChrisEvans @NTJohnson Okay, Ransom Drysdale! See you at the 7pm screening of #KnivesOut #UAMidway Forest Hills, NY. TGIF!",en,extended,False,0,,False,555607002,1198017547158851584,ChrisEvans NTJohnson Okay Ransom Drysdale See you at the 7pm screening of KnivesOut UAMidway Forest Hills NY TGIF,0.78125,2019-11-22,KnivesOut,positive
